timestamp,x,y,z,w
1517145459050393,0.137634,-0.114502,0.97345,-0.142578
1517145459065404,0.137756,-0.114197,0.97345,-0.142578
1517145459079378,0.137817,-0.114136,0.97345,-0.142578
1517145459102395,0.137817,-0.114258,0.97345,-0.142639
1517145459125414,0.137878,-0.114319,0.973389,-0.142578
1517145459139421,0.137756,-0.114258,0.97345,-0.142578
1517145459163473,0.137634,-0.114197,0.97345,-0.142578
1517145459185508,0.137634,-0.114014,0.973511,-0.142517
1517145459199466,0.137695,-0.113953,0.973511,-0.142456
1517145459223483,0.137756,-0.114014,0.97345,-0.142517
1517145459245504,0.137756,-0.114075,0.97345,-0.142517
1517145459259513,0.137695,-0.114075,0.973511,-0.142517
1517145459282538,0.137512,-0.114197,0.973511,-0.142456
1517145459305538,0.137573,-0.114502,0.97345,-0.142395
1517145459326553,0.137451,-0.114685,0.97345,-0.142334
1517145459342564,0.137207,-0.114563,0.973511,-0.142273
1517145459365580,0.137085,-0.114563,0.973572,-0.142212
1517145459393603,0.137146,-0.114807,0.973511,-0.14209
1517145459408615,0.137146,-0.114929,0.973511,-0.142029
1517145459431627,0.137146,-0.114929,0.973572,-0.141907
1517145459445650,0.137024,-0.114929,0.973572,-0.141785
1517145459462650,0.137024,-0.115051,0.973572,-0.141724
1517145459484666,0.137085,-0.115234,0.973572,-0.141602
1517145459513685,0.137085,-0.115356,0.973572,-0.141602
1517145459522694,0.137085,-0.115417,0.973572,-0.141479
1517145459544707,0.137085,-0.115356,0.973572,-0.141357
1517145459565722,0.137024,-0.115417,0.973572,-0.141296
1517145459582735,0.137024,-0.115417,0.973633,-0.141235
1517145459604769,0.137024,-0.115417,0.973633,-0.141235
1517145459626770,0.137085,-0.115417,0.973633,-0.141235
1517145459642784,0.137085,-0.115356,0.973633,-0.141174
1517145459670854,0.137146,-0.115295,0.973633,-0.141174
1517145459687827,0.137146,-0.115295,0.973633,-0.141174
1517145459702855,0.137207,-0.115295,0.973572,-0.141174
1517145459724837,0.137268,-0.115295,0.973572,-0.141174
1517145459754856,0.137329,-0.115234,0.973572,-0.141174
1517145459762862,0.137329,-0.115234,0.973572,-0.141174
1517145459784878,0.13739,-0.115173,0.973572,-0.141113
1517145459805903,0.137451,-0.115173,0.973572,-0.141113
1517145459822907,0.13739,-0.115051,0.973633,-0.141113
1517145459844925,0.13739,-0.115173,0.973633,-0.141052
1517145459867937,0.13739,-0.115295,0.973633,-0.140991
1517145459882948,0.137268,-0.115356,0.973633,-0.14093
1517145459904963,0.137268,-0.115356,0.973633,-0.140869
